,category,first flight,introduced,introduction,ns,number built,pageid,retired,status,title,unit cost,views,built_group,built_number,year
128,Category:Military helicopters|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:Military helicopters|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:Military helicopters|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:Military helicopters|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:Military helicopters|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft|Category:1950s Polish military utility aircraft,18 November 1959,Error,[[1961 in aviation,0,86 + 3 prototypes,17314350,[[1981 in aviation,,PZL SM-2,,14.698630136986301,4,86.0,1959.0
129,Category:Military helicopters|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:Military helicopters|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:Military helicopters|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:Military helicopters|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:Military helicopters|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft|Category:2000s United States military transport aircraft,15 November 2008,2018 (proposed),Error,0,15 (as of July 2018),1026733,Error,In service{{cn,Sikorsky CH-148 Cyclone,C$64 million (2004 estimate),263.1041095890411,3,15.0,2008.0
134,Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:1980s Polish military aircraft|Category:1980s Polish military aircraft,16 November 1979,,Error,0,149 (as of 2011),2613695,,In service,PZL W-3 Sokół,,154.63561643835615,4,149.0,1979.0
135,Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Cancelled military aircraft projects of the United States,"May 12, 1941",,Error,0,2,14530186,"June 21, 1946",,Platt-LePage XR-1,Error,40.24109589041096,2,2.0,1941.0
136,Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft,[[1945 in aviation,[[1947 in aviation,Error,0,28,16411182,,,Piasecki HRP Rescuer,Error,32.68493150684932,3,28.0,1945.0
137,Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Military helicopters|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:1940s United States military transport aircraft|Category:Cancelled military aircraft projects of the United States|Category:1940s United States military transport aircraft,23 October 1953,,Error,0,2,21204970,,,Piasecki H-16 Transporter,Error,26.786301369863015,2,2.0,1953.0
138,Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters,,,Error,0,1,11189172,Error,Cancelled 1956,Percival P.74,,13.654794520547945,1,1.0,
140,Category:Military helicopters|Category:1990s international military utility aircraft|Category:1990s international military utility aircraft|Category:Military helicopters|Category:1990s international military utility aircraft|Category:1990s international military utility aircraft|Category:Military helicopters|Category:1990s international military utility aircraft|Category:1990s international military utility aircraft|Category:Military helicopters|Category:1990s international military utility aircraft|Category:1990s international military utility aircraft|Category:1990s international anti-submarine aircraft|Category:1990s international anti-submarine aircraft|Category:Military helicopters|Category:1990s international military utility aircraft|Category:1990s international military utility aircraft|Category:1990s international anti-submarine aircraft|Category:1990s international anti-submarine aircraft|Category:1990s international military utility aircraft|Category:1990s international military utility aircraft|Category:1990s international anti-submarine aircraft|Category:1990s international anti-submarine aircraft|Category:1990s international military utility aircraft|Category:1990s international anti-submarine aircraft|Category:1990s international military utility aircraft|Category:1990s international anti-submarine aircraft,18 December 1995,2007,Error,0,300 as of December 2016,513911,,In service,NHIndustries NH90,[[Euro,643.8986301369863,5,300.0,1995.0
141,Category:Military helicopters|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:Military helicopters|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:Military helicopters|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:Military helicopters|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:1980s Japanese anti-submarine aircraft|Category:1980s Japanese anti-submarine aircraft|Category:Military helicopters|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:1980s Japanese anti-submarine aircraft|Category:1980s Japanese anti-submarine aircraft|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:1980s Japanese anti-submarine aircraft|Category:1980s Japanese anti-submarine aircraft|Category:1980s Japanese military utility aircraft|Category:1980s Japanese military utility aircraft|Category:1980s Japanese anti-submarine aircraft,31 August 1987,1991,Error,0,178,20768403,,In service,Mitsubishi H-60,,146.17260273972602,4,178.0,1987.0
142,Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft,14 December 1977,Error,1983,0,316 as of 2015,1605165,,In service,Mil Mi-26,"US$20â25 million (Mi-26TS, 2011)",925.9205479452055,5,316.0,1977.0
143,Category:Military helicopters|Category:Gunships|Category:Military helicopters|Category:Gunships|Category:Military helicopters|Category:Military helicopters|Category:Gunships|Category:1960s Soviet attack aircraft|Category:Gunships|Category:1960s Soviet attack aircraft|Category:Military helicopters|Category:Gunships|Category:1960s Soviet attack aircraft|Category:Gunships|Category:1960s Soviet attack aircraft|Category:1960s Soviet attack aircraft|Category:1960s Soviet attack aircraft|Category:1960s Soviet attack aircraft|Category:1960s Soviet attack aircraft,19 September 1969,1972,Error,0,"2,648",384591,,In service,Mil Mi-24,,1702.8082191780823,6,2648.0,1969.0
144,Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:Military helicopters|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft|Category:1970s Soviet military transport aircraft,1975,"1977 (Mi-8MT), 1981 (Mi-17)",Error,0,"About 12,000 as of 2007",1493374,,In service,Mil Mi-17,Prices vary based on specifications (military and civilian prices differ),1297.6657534246576,6,12000.0,1975.0
145,Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:1960s Soviet anti-submarine aircraft|Category:1960s Soviet anti-submarine aircraft|Category:Military helicopters|Category:1960s Soviet anti-submarine aircraft|Category:1960s Soviet anti-submarine aircraft|Category:1960s Soviet anti-submarine aircraft|Category:1960s Soviet anti-submarine aircraft|Category:1960s Soviet anti-submarine aircraft,September [[1969 in aviation,[[1975 in aviation,Error,0,230,1493391,"still in service as of January 1, 2016",Active service; out of production,Mil Mi-14,,195.29041095890412,5,230.0,1969.0
146,Category:Military helicopters|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1960s Soviet military utility aircraft|Category:1980s Soviet military transport aircraft|Category:1980s Soviet military transport aircraft|Category:1960s Soviet military utility aircraft,7 July 1961,1967,Error,0,">17,000 and production continues today; world's most-produced helicopter",957233,,In service,Mil Mi-8,Error,1010.8986301369863,6,17000.0,1961.0
147,Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft,15 June 1960,Error,1963,0,55,1493427,,,Mil Mi-10,,130.94520547945206,4,55.0,1960.0
148,Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft,5 June 1957,Error,Error,0,926,1493437,2002 (Russia CAA),Retired from service,Mil Mi-6,Error,236.26027397260273,5,926.0,1957.0
